epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8981,1.34991,0.79379,1.16876,0.91667,0.83459,0.90757,0.57173,1.31385,0.73341,1.24581,0.000664032,0.000664032,0.000664032
2,145.29,1.42422,0.88547,1.21042,0.9169,0.78332,0.8792,0.51593,1.42735,0.84361,1.31717,0.00129776,0.00129776,0.00129776
3,212.852,1.49568,0.94835,1.25238,0.86598,0.78172,0.85436,0.4781,1.53947,0.87705,1.38934,0.0018985,0.0018985,0.0018985
4,281.573,1.53841,0.98121,1.27683,0.88408,0.78469,0.86738,0.49486,1.46367,0.88331,1.34425,0.0018515,0.0018515,0.0018515
